candidate,gc_t0_ms,period,sl_atr,tp_atr,gross_r,reason,hold_ms,cost_r,net_r
Q60,1786105620000,TRAIN,0.5,1.0,-1.0,SL,13351,0.05,-1.05
Q60,1786381140000,TRAIN,0.5,1.0,-1.0,SL,9744,0.05,-1.05
Q60,1786440810000,TRAIN,0.5,1.0,-1.0,SL,9602,0.05,-1.05
Q60,1786553460000,TRAIN,0.5,1.0,-1.0,SL,5400,0.05,-1.05
Q60,1786553820000,TRAIN,0.5,1.0,2.0,TP,215098,0.05,1.95
Q60,1786633320000,TRAIN,0.5,1.0,-1.0,SL,16963,0.05,-1.05
Q60,1786670520000,TRAIN,0.5,1.0,-1.0,SL,2400,0.05,-1.05
Q60,1787066490000,TRAIN,0.5,1.0,-1.0,SL,18900,0.05,-1.05
Q60,1787098590000,TRAIN,0.5,1.0,-1.0,SL,145347,0.05,-1.05
Q60,1787140380000,TRAIN,0.5,1.0,-1.0,SL,12003,0.05,-1.05
Q60,1787143260000,TRAIN,0.5,1.0,-1.0,SL,15596,0.05,-1.05
Q60,1787234520000,VALID,0.5,1.0,2.0,TP,33597,0.05,1.95
Q60,1787246430000,VALID,0.5,1.0,2.0,TP,82199,0.05,1.95
Q60,1787267280000,VALID,0.5,1.0,-1.0,SL,16047,0.05,-1.05
Q60,1787312280000,VALID,0.5,1.0,2.0,TP,27902,0.05,1.95
Q60,1787325840000,VALID,0.5,1.0,-1.0,SL,11850,0.05,-1.05
Q60,1787579790000,VALID,0.5,1.0,2.0,TP,88044,0.05,1.95
Q60,1787583030000,VALID,0.5,1.0,-1.0,SL,15300,0.05,-1.05
Q60,1787661450000,VALID,0.5,1.0,-1.0,SL,93604,0.05,-1.05
Q60,1787664090000,VALID,0.5,1.0,-1.0,SL,3600,0.05,-1.05
Q60,1787666490000,VALID,0.5,1.0,-1.0,SL,50557,0.05,-1.05
Q60,1787749530000,VALID,0.5,1.0,-1.0,SL,93745,0.05,-1.05
Q60,1787753850000,VALID,0.5,1.0,-1.0,SL,27594,0.05,-1.05
Q60,1787788590000,VALID,0.5,1.0,-1.0,SL,8553,0.05,-1.05
Q60,1787834550000,VALID,0.5,1.0,2.0,TP,133652,0.05,1.95
Q60,1787925720000,VALID,0.5,1.0,2.0,TP,13949,0.05,1.95
Q60,1788144150000,VALID,0.5,1.0,-1.0,SL,83999,0.05,-1.05
Q60,1788258720000,VALID,0.5,1.0,-1.0,SL,45300,0.05,-1.05
Q60,1788333960000,VALID,0.5,1.0,-1.0,SL,82501,0.05,-1.05
Q60,1788353280000,VALID,0.5,1.0,-1.0,SL,18001,0.05,-1.05
Q60,1788417360000,VALID,0.5,1.0,-1.0,SL,79203,0.05,-1.05
Q60,1788439920000,VALID,0.5,1.0,2.0,TP,99757,0.05,1.95
Q60,1788461400000,VALID,0.5,1.0,-1.0,SL,11399,0.05,-1.05
Q60,1788852930000,POST_CHECK,0.5,1.0,-1.0,SL,38396,0.05,-1.05
Q60,1788853320000,POST_CHECK,0.5,1.0,-1.0,SL,13799,0.05,-1.05
Q60,1788894780000,POST_CHECK,0.5,1.0,-1.0,SL,9754,0.05,-1.05
Q60,1789007910000,POST_CHECK,0.5,1.0,2.0,TP,80852,0.05,1.95
Q60,1789019610000,POST_CHECK,0.5,1.0,-1.0,SL,9450,0.05,-1.05
Q60,1789047570000,POST_CHECK,0.5,1.0,-1.0,SL,31949,0.05,-1.05
Q60,1789053690000,POST_CHECK,0.5,1.0,0.4607184241020071,TIME,299847,0.05,0.4107184241020071
Q60,1789088850000,POST_CHECK,0.5,1.0,-1.0,SL,8848,0.05,-1.05
Q60,1789347690000,POST_CHECK,0.5,1.0,2.0,TP,36296,0.05,1.95
Q60,1789383480000,POST_CHECK,0.5,1.0,-1.0,SL,6458,0.05,-1.05
Q60,1789388280000,POST_CHECK,0.5,1.0,2.0,TP,24153,0.05,1.95
Q60,1789445400000,POST_CHECK,0.5,1.0,-1.0,SL,0,0.05,-1.05
Q60,1786096110000,TRAIN,0.5,1.0,2.0,TP,115345,0.1,1.9
Q60,1786105620000,TRAIN,0.5,1.0,-1.0,SL,13351,0.1,-1.1
Q60,1786381140000,TRAIN,0.5,1.0,-1.0,SL,9744,0.1,-1.1
Q60,1786440810000,TRAIN,0.5,1.0,-1.0,SL,9602,0.1,-1.1
Q60,1786553460000,TRAIN,0.5,1.0,-1.0,SL,5400,0.1,-1.1
Q60,1786553820000,TRAIN,0.5,1.0,2.0,TP,215098,0.1,1.9
Q60,1786633320000,TRAIN,0.5,1.0,-1.0,SL,16963,0.1,-1.1
Q60,1786670520000,TRAIN,0.5,1.0,-1.0,SL,2400,0.1,-1.1
Q60,1787066490000,TRAIN,0.5,1.0,-1.0,SL,18900,0.1,-1.1
Q60,1787098590000,TRAIN,0.5,1.0,-1.0,SL,145347,0.1,-1.1
Q60,1787140380000,TRAIN,0.5,1.0,-1.0,SL,12003,0.1,-1.1
Q60,1787143260000,TRAIN,0.5,1.0,-1.0,SL,15596,0.1,-1.1
Q60,1787234520000,VALID,0.5,1.0,2.0,TP,33597,0.1,1.9
Q60,1787246430000,VALID,0.5,1.0,2.0,TP,82199,0.1,1.9
Q60,1787267280000,VALID,0.5,1.0,-1.0,SL,16047,0.1,-1.1
Q60,1787312280000,VALID,0.5,1.0,2.0,TP,27902,0.1,1.9
Q60,1787325840000,VALID,0.5,1.0,-1.0,SL,11850,0.1,-1.1
Q60,1787579790000,VALID,0.5,1.0,2.0,TP,88044,0.1,1.9
Q60,1787583030000,VALID,0.5,1.0,-1.0,SL,15300,0.1,-1.1
Q60,1787661450000,VALID,0.5,1.0,-1.0,SL,93604,0.1,-1.1
Q60,1787664090000,VALID,0.5,1.0,-1.0,SL,3600,0.1,-1.1
Q60,1787666490000,VALID,0.5,1.0,-1.0,SL,50557,0.1,-1.1
Q60,1787749530000,VALID,0.5,1.0,-1.0,SL,93745,0.1,-1.1
Q60,1787753850000,VALID,0.5,1.0,-1.0,SL,27594,0.1,-1.1
Q60,1787788590000,VALID,0.5,1.0,-1.0,SL,8553,0.1,-1.1
Q60,1787834550000,VALID,0.5,1.0,2.0,TP,133652,0.1,1.9
Q60,1787925720000,VALID,0.5,1.0,2.0,TP,13949,0.1,1.9
Q60,1788144150000,VALID,0.5,1.0,-1.0,SL,83999,0.1,-1.1
Q60,1788258720000,VALID,0.5,1.0,-1.0,SL,45300,0.1,-1.1
Q60,1788333960000,VALID,0.5,1.0,-1.0,SL,82501,0.1,-1.1
Q60,1788353280000,VALID,0.5,1.0,-1.0,SL,18001,0.1,-1.1
Q60,1788417360000,VALID,0.5,1.0,-1.0,SL,79203,0.1,-1.1
Q60,1788439920000,VALID,0.5,1.0,2.0,TP,99757,0.1,1.9
Q60,1788461400000,VALID,0.5,1.0,-1.0,SL,11399,0.1,-1.1
Q60,1788852930000,POST_CHECK,0.5,1.0,-1.0,SL,38396,0.1,-1.1
Q60,1788853320000,POST_CHECK,0.5,1.0,-1.0,SL,13799,0.1,-1.1
Q60,1788894780000,POST_CHECK,0.5,1.0,-1.0,SL,9754,0.1,-1.1
Q60,1789007910000,POST_CHECK,0.5,1.0,2.0,TP,80852,0.1,1.9
Q60,1789019610000,POST_CHECK,0.5,1.0,-1.0,SL,9450,0.1,-1.1
Q60,1789047570000,POST_CHECK,0.5,1.0,-1.0,SL,31949,0.1,-1.1
Q60,1789053690000,POST_CHECK,0.5,1.0,0.4607184241020071,TIME,299847,0.1,0.36071842410200705
Q60,1789088850000,POST_CHECK,0.5,1.0,-1.0,SL,8848,0.1,-1.1
Q60,1789347690000,POST_CHECK,0.5,1.0,2.0,TP,36296,0.1,1.9
Q60,1789383480000,POST_CHECK,0.5,1.0,-1.0,SL,6458,0.1,-1.1
Q60,1789388280000,POST_CHECK,0.5,1.0,2.0,TP,24153,0.1,1.9
Q60,1789445400000,POST_CHECK,0.5,1.0,-1.0,SL,0,0.1,-1.1
Q60,1786096110000,TRAIN,0.5,1.0,2.0,TP,115345,0.15,1.85
Q60,1786105620000,TRAIN,0.5,1.0,-1.0,SL,13351,0.15,-1.15
Q60,1786381140000,TRAIN,0.5,1.0,-1.0,SL,9744,0.15,-1.15
Q60,1786440810000,TRAIN,0.5,1.0,-1.0,SL,9602,0.15,-1.15
Q60,1786553460000,TRAIN,0.5,1.0,-1.0,SL,5400,0.15,-1.15
Q60,1786553820000,TRAIN,0.5,1.0,2.0,TP,215098,0.15,1.85
Q60,1786633320000,TRAIN,0.5,1.0,-1.0,SL,16963,0.15,-1.15
Q60,1786670520000,TRAIN,0.5,1.0,-1.0,SL,2400,0.15,-1.15
Q60,1787066490000,TRAIN,0.5,1.0,-1.0,SL,18900,0.15,-1.15
Q60,1787098590000,TRAIN,0.5,1.0,-1.0,SL,145347,0.15,-1.15
Q60,1787140380000,TRAIN,0.5,1.0,-1.0,SL,12003,0.15,-1.15
Q60,1787143260000,TRAIN,0.5,1.0,-1.0,SL,15596,0.15,-1.15
Q60,1787234520000,VALID,0.5,1.0,2.0,TP,33597,0.15,1.85
Q60,1787246430000,VALID,0.5,1.0,2.0,TP,82199,0.15,1.85
Q60,1787267280000,VALID,0.5,1.0,-1.0,SL,16047,0.15,-1.15
Q60,1787312280000,VALID,0.5,1.0,2.0,TP,27902,0.15,1.85
Q60,1787325840000,VALID,0.5,1.0,-1.0,SL,11850,0.15,-1.15
Q60,1787579790000,VALID,0.5,1.0,2.0,TP,88044,0.15,1.85
Q60,1787583030000,VALID,0.5,1.0,-1.0,SL,15300,0.15,-1.15
Q60,1787661450000,VALID,0.5,1.0,-1.0,SL,93604,0.15,-1.15
Q60,1787664090000,VALID,0.5,1.0,-1.0,SL,3600,0.15,-1.15
Q60,1787666490000,VALID,0.5,1.0,-1.0,SL,50557,0.15,-1.15
Q60,1787749530000,VALID,0.5,1.0,-1.0,SL,93745,0.15,-1.15
Q60,1787753850000,VALID,0.5,1.0,-1.0,SL,27594,0.15,-1.15
Q60,1787788590000,VALID,0.5,1.0,-1.0,SL,8553,0.15,-1.15
Q60,1787834550000,VALID,0.5,1.0,2.0,TP,133652,0.15,1.85
Q60,1787925720000,VALID,0.5,1.0,2.0,TP,13949,0.15,1.85
Q60,1788144150000,VALID,0.5,1.0,-1.0,SL,83999,0.15,-1.15
Q60,1788258720000,VALID,0.5,1.0,-1.0,SL,45300,0.15,-1.15
Q60,1788333960000,VALID,0.5,1.0,-1.0,SL,82501,0.15,-1.15
Q60,1788353280000,VALID,0.5,1.0,-1.0,SL,18001,0.15,-1.15
Q60,1788417360000,VALID,0.5,1.0,-1.0,SL,79203,0.15,-1.15
Q60,1788439920000,VALID,0.5,1.0,2.0,TP,99757,0.15,1.85
Q60,1788461400000,VALID,0.5,1.0,-1.0,SL,11399,0.15,-1.15
Q60,1788852930000,POST_CHECK,0.5,1.0,-1.0,SL,38396,0.15,-1.15
Q60,1788853320000,POST_CHECK,0.5,1.0,-1.0,SL,13799,0.15,-1.15
Q60,1788894780000,POST_CHECK,0.5,1.0,-1.0,SL,9754,0.15,-1.15
Q60,1789007910000,POST_CHECK,0.5,1.0,2.0,TP,80852,0.15,1.85
Q60,1789019610000,POST_CHECK,0.5,1.0,-1.0,SL,9450,0.15,-1.15
Q60,1789047570000,POST_CHECK,0.5,1.0,-1.0,SL,31949,0.15,-1.15
Q60,1789053690000,POST_CHECK,0.5,1.0,0.4607184241020071,TIME,299847,0.15,0.3107184241020071
Q60,1789088850000,POST_CHECK,0.5,1.0,-1.0,SL,8848,0.15,-1.15
Q60,1789347690000,POST_CHECK,0.5,1.0,2.0,TP,36296,0.15,1.85
Q60,1789383480000,POST_CHECK,0.5,1.0,-1.0,SL,6458,0.15,-1.15
Q60,1789388280000,POST_CHECK,0.5,1.0,2.0,TP,24153,0.15,1.85
Q60,1789445400000,POST_CHECK,0.5,1.0,-1.0,SL,0,0.15,-1.15
Q60,1786096110000,TRAIN,0.5,1.25,2.5,TP,116247,0.0,2.5
Q60,1786105620000,TRAIN,0.5,1.25,-1.0,SL,13351,0.0,-1.0
Q60,1786381140000,TRAIN,0.5,1.25,-1.0,SL,9744,0.0,-1.0
Q60,1786440810000,TRAIN,0.5,1.25,-1.0,SL,9602,0.0,-1.0
Q60,1786553460000,TRAIN,0.5,1.25,-1.0,SL,5400,0.0,-1.0
Q60,1786553820000,TRAIN,0.5,1.25,2.5,TP,219149,0.0,2.5
Q60,1786633320000,TRAIN,0.5,1.25,-1.0,SL,16963,0.0,-1.0
Q60,1786670520000,TRAIN,0.5,1.25,-1.0,SL,2400,0.0,-1.0
Q60,1787066490000,TRAIN,0.5,1.25,-1.0,SL,18900,0.0,-1.0
Q60,1787098590000,TRAIN,0.5,1.25,-1.0,SL,145347,0.0,-1.0
Q60,1787140380000,TRAIN,0.5,1.25,-1.0,SL,12003,0.0,-1.0
Q60,1787143260000,TRAIN,0.5,1.25,-1.0,SL,15596,0.0,-1.0
Q60,1787234520000,VALID,0.5,1.25,2.5,TP,47700,0.0,2.5
Q60,1787246430000,VALID,0.5,1.25,2.5,TP,82346,0.0,2.5
Q60,1787267280000,VALID,0.5,1.25,-1.0,SL,16047,0.0,-1.0
Q60,1787312280000,VALID,0.5,1.25,2.5,TP,41102,0.0,2.5
Q60,1787325840000,VALID,0.5,1.25,-1.0,SL,11850,0.0,-1.0
Q60,1787579790000,VALID,0.5,1.25,2.5,TP,94046,0.0,2.5
Q60,1787583030000,VALID,0.5,1.25,-1.0,SL,15300,0.0,-1.0
Q60,1787661450000,VALID,0.5,1.25,-1.0,SL,93604,0.0,-1.0
Q60,1787664090000,VALID,0.5,1.25,-1.0,SL,3600,0.0,-1.0
Q60,1787666490000,VALID,0.5,1.25,-1.0,SL,50557,0.0,-1.0
Q60,1787749530000,VALID,0.5,1.25,-1.0,SL,93745,0.0,-1.0
Q60,1787753850000,VALID,0.5,1.25,-1.0,SL,27594,0.0,-1.0
Q60,1787788590000,VALID,0.5,1.25,-1.0,SL,8553,0.0,-1.0
Q60,1787834550000,VALID,0.5,1.25,2.5,TP,174148,0.0,2.5
Q60,1787925720000,VALID,0.5,1.25,2.5,TP,15454,0.0,2.5
Q60,1788144150000,VALID,0.5,1.25,-1.0,SL,83999,0.0,-1.0
Q60,1788258720000,VALID,0.5,1.25,-1.0,SL,45300,0.0,-1.0
Q60,1788333960000,VALID,0.5,1.25,-1.0,SL,82501,0.0,-1.0
Q60,1788353280000,VALID,0.5,1.25,-1.0,SL,18001,0.0,-1.0
Q60,1788417360000,VALID,0.5,1.25,-1.0,SL,79203,0.0,-1.0
Q60,1788439920000,VALID,0.5,1.25,2.5,TP,100354,0.0,2.5
Q60,1788461400000,VALID,0.5,1.25,-1.0,SL,11399,0.0,-1.0
Q60,1788852930000,POST_CHECK,0.5,1.25,-1.0,SL,38396,0.0,-1.0
Q60,1788853320000,POST_CHECK,0.5,1.25,-1.0,SL,13799,0.0,-1.0
Q60,1788894780000,POST_CHECK,0.5,1.25,-1.0,SL,9754,0.0,-1.0
Q60,1789007910000,POST_CHECK,0.5,1.25,2.5,TP,211356,0.0,2.5
Q60,1789019610000,POST_CHECK,0.5,1.25,-1.0,SL,9450,0.0,-1.0
Q60,1789047570000,POST_CHECK,0.5,1.25,-1.0,SL,31949,0.0,-1.0
Q60,1789053690000,POST_CHECK,0.5,1.25,0.4607184241020071,TIME,299847,0.0,0.4607184241020071
Q60,1789088850000,POST_CHECK,0.5,1.25,-1.0,SL,8848,0.0,-1.0
Q60,1789347690000,POST_CHECK,0.5,1.25,2.5,TP,36749,0.0,2.5
Q60,1789383480000,POST_CHECK,0.5,1.25,-1.0,SL,6458,0.0,-1.0
Q60,1789388280000,POST_CHECK,0.5,1.25,2.5,TP,26847,0.0,2.5
Q60,1789445400000,POST_CHECK,0.5,1.25,-1.0,SL,0,0.0,-1.0
Q60,1786096110000,TRAIN,0.5,1.25,2.5,TP,116247,0.02,2.48
Q60,1786105620000,TRAIN,0.5,1.25,-1.0,SL,13351,0.02,-1.02
Q60,1786381140000,TRAIN,0.5,1.25,-1.0,SL,9744,0.02,-1.02
Q60,1786440810000,TRAIN,0.5,1.25,-1.0,SL,9602,0.02,-1.02
Q60,1786553460000,TRAIN,0.5,1.25,-1.0,SL,5400,0.02,-1.02
Q60,1786553820000,TRAIN,0.5,1.25,2.5,TP,219149,0.02,2.48
Q60,1786633320000,TRAIN,0.5,1.25,-1.0,SL,16963,0.02,-1.02
Q60,1786670520000,TRAIN,0.5,1.25,-1.0,SL,2400,0.02,-1.02
Q60,1787066490000,TRAIN,0.5,1.25,-1.0,SL,18900,0.02,-1.02
Q60,1787098590000,TRAIN,0.5,1.25,-1.0,SL,145347,0.02,-1.02
Q60,1787140380000,TRAIN,0.5,1.25,-1.0,SL,12003,0.02,-1.02
Q60,1787143260000,TRAIN,0.5,1.25,-1.0,SL,15596,0.02,-1.02
Q60,1787234520000,VALID,0.5,1.25,2.5,TP,47700,0.02,2.48
Q60,1787246430000,VALID,0.5,1.25,2.5,TP,82346,0.02,2.48
Q60,1787267280000,VALID,0.5,1.25,-1.0,SL,16047,0.02,-1.02
Q60,1787312280000,VALID,0.5,1.25,2.5,TP,41102,0.02,2.48
Q60,1787325840000,VALID,0.5,1.25,-1.0,SL,11850,0.02,-1.02
Q60,1787579790000,VALID,0.5,1.25,2.5,TP,94046,0.02,2.48
Q60,1787583030000,VALID,0.5,1.25,-1.0,SL,15300,0.02,-1.02
Q60,1787661450000,VALID,0.5,1.25,-1.0,SL,93604,0.02,-1.02
Q60,1787664090000,VALID,0.5,1.25,-1.0,SL,3600,0.02,-1.02
Q60,1787666490000,VALID,0.5,1.25,-1.0,SL,50557,0.02,-1.02
Q60,1787749530000,VALID,0.5,1.25,-1.0,SL,93745,0.02,-1.02
Q60,1787753850000,VALID,0.5,1.25,-1.0,SL,27594,0.02,-1.02
Q60,1787788590000,VALID,0.5,1.25,-1.0,SL,8553,0.02,-1.02
Q60,1787834550000,VALID,0.5,1.25,2.5,TP,174148,0.02,2.48
Q60,1787925720000,VALID,0.5,1.25,2.5,TP,15454,0.02,2.48
Q60,1788144150000,VALID,0.5,1.25,-1.0,SL,83999,0.02,-1.02
Q60,1788258720000,VALID,0.5,1.25,-1.0,SL,45300,0.02,-1.02
Q60,1788333960000,VALID,0.5,1.25,-1.0,SL,82501,0.02,-1.02
Q60,1788353280000,VALID,0.5,1.25,-1.0,SL,18001,0.02,-1.02
Q60,1788417360000,VALID,0.5,1.25,-1.0,SL,79203,0.02,-1.02
Q60,1788439920000,VALID,0.5,1.25,2.5,TP,100354,0.02,2.48
Q60,1788461400000,VALID,0.5,1.25,-1.0,SL,11399,0.02,-1.02
Q60,1788852930000,POST_CHECK,0.5,1.25,-1.0,SL,38396,0.02,-1.02
Q60,1788853320000,POST_CHECK,0.5,1.25,-1.0,SL,13799,0.02,-1.02
Q60,1788894780000,POST_CHECK,0.5,1.25,-1.0,SL,9754,0.02,-1.02
Q60,1789007910000,POST_CHECK,0.5,1.25,2.5,TP,211356,0.02,2.48
Q60,1789019610000,POST_CHECK,0.5,1.25,-1.0,SL,9450,0.02,-1.02
Q60,1789047570000,POST_CHECK,0.5,1.25,-1.0,SL,31949,0.02,-1.02
Q60,1789053690000,POST_CHECK,0.5,1.25,0.4607184241020071,TIME,299847,0.02,0.44071842410200707
Q60,1789088850000,POST_CHECK,0.5,1.25,-1.0,SL,8848,0.02,-1.02
Q60,1789347690000,POST_CHECK,0.5,1.25,2.5,TP,36749,0.02,2.48
Q60,1789383480000,POST_CHECK,0.5,1.25,-1.0,SL,6458,0.02,-1.02
Q60,1789388280000,POST_CHECK,0.5,1.25,2.5,TP,26847,0.02,2.48
Q60,1789445400000,POST_CHECK,0.5,1.25,-1.0,SL,0,0.02,-1.02
Q60,1786096110000,TRAIN,0.5,1.25,2.5,TP,116247,0.05,2.45
Q60,1786105620000,TRAIN,0.5,1.25,-1.0,SL,13351,0.05,-1.05
Q60,1786381140000,TRAIN,0.5,1.25,-1.0,SL,9744,0.05,-1.05
Q60,1786440810000,TRAIN,0.5,1.25,-1.0,SL,9602,0.05,-1.05
Q60,1786553460000,TRAIN,0.5,1.25,-1.0,SL,5400,0.05,-1.05
Q60,1786553820000,TRAIN,0.5,1.25,2.5,TP,219149,0.05,2.45
Q60,1786633320000,TRAIN,0.5,1.25,-1.0,SL,16963,0.05,-1.05
Q60,1786670520000,TRAIN,0.5,1.25,-1.0,SL,2400,0.05,-1.05
Q60,1787066490000,TRAIN,0.5,1.25,-1.0,SL,18900,0.05,-1.05
Q60,1787098590000,TRAIN,0.5,1.25,-1.0,SL,145347,0.05,-1.05
Q60,1787140380000,TRAIN,0.5,1.25,-1.0,SL,12003,0.05,-1.05
Q60,1787143260000,TRAIN,0.5,1.25,-1.0,SL,15596,0.05,-1.05
Q60,1787234520000,VALID,0.5,1.25,2.5,TP,47700,0.05,2.45
Q60,1787246430000,VALID,0.5,1.25,2.5,TP,82346,0.05,2.45
Q60,1787267280000,VALID,0.5,1.25,-1.0,SL,16047,0.05,-1.05
Q60,1787312280000,VALID,0.5,1.25,2.5,TP,41102,0.05,2.45
Q60,1787325840000,VALID,0.5,1.25,-1.0,SL,11850,0.05,-1.05
Q60,1787579790000,VALID,0.5,1.25,2.5,TP,94046,0.05,2.45
Q60,1787583030000,VALID,0.5,1.25,-1.0,SL,15300,0.05,-1.05
Q60,1787661450000,VALID,0.5,1.25,-1.0,SL,93604,0.05,-1.05
Q60,1787664090000,VALID,0.5,1.25,-1.0,SL,3600,0.05,-1.05
Q60,1787666490000,VALID,0.5,1.25,-1.0,SL,50557,0.05,-1.05
Q60,1787749530000,VALID,0.5,1.25,-1.0,SL,93745,0.05,-1.05
Q60,1787753850000,VALID,0.5,1.25,-1.0,SL,27594,0.05,-1.05
Q60,1787788590000,VALID,0.5,1.25,-1.0,SL,8553,0.05,-1.05
Q60,1787834550000,VALID,0.5,1.25,2.5,TP,174148,0.05,2.45
Q60,1787925720000,VALID,0.5,1.25,2.5,TP,15454,0.05,2.45
Q60,1788144150000,VALID,0.5,1.25,-1.0,SL,83999,0.05,-1.05
Q60,1788258720000,VALID,0.5,1.25,-1.0,SL,45300,0.05,-1.05
Q60,1788333960000,VALID,0.5,1.25,-1.0,SL,82501,0.05,-1.05
Q60,1788353280000,VALID,0.5,1.25,-1.0,SL,18001,0.05,-1.05
Q60,1788417360000,VALID,0.5,1.25,-1.0,SL,79203,0.05,-1.05
Q60,1788439920000,VALID,0.5,1.25,2.5,TP,100354,0.05,2.45
Q60,1788461400000,VALID,0.5,1.25,-1.0,SL,11399,0.05,-1.05
Q60,1788852930000,POST_CHECK,0.5,1.25,-1.0,SL,38396,0.05,-1.05
Q60,1788853320000,POST_CHECK,0.5,1.25,-1.0,SL,13799,0.05,-1.05
Q60,1788894780000,POST_CHECK,0.5,1.25,-1.0,SL,9754,0.05,-1.05
Q60,1789007910000,POST_CHECK,0.5,1.25,2.5,TP,211356,0.05,2.45
Q60,1789019610000,POST_CHECK,0.5,1.25,-1.0,SL,9450,0.05,-1.05
Q60,1789047570000,POST_CHECK,0.5,1.25,-1.0,SL,31949,0.05,-1.05
Q60,1789053690000,POST_CHECK,0.5,1.25,0.4607184241020071,TIME,299847,0.05,0.4107184241020071
Q60,1789088850000,POST_CHECK,0.5,1.25,-1.0,SL,8848,0.05,-1.05
Q60,1789347690000,POST_CHECK,0.5,1.25,2.5,TP,36749,0.05,2.45
Q60,1789383480000,POST_CHECK,0.5,1.25,-1.0,SL,6458,0.05,-1.05
Q60,1789388280000,POST_CHECK,0.5,1.25,2.5,TP,26847,0.05,2.45
Q60,1789445400000,POST_CHECK,0.5,1.25,-1.0,SL,0,0.05,-1.05
Q60,1786096110000,TRAIN,0.5,1.25,2.5,TP,116247,0.1,2.4
Q60,1786105620000,TRAIN,0.5,1.25,-1.0,SL,13351,0.1,-1.1
Q60,1786381140000,TRAIN,0.5,1.25,-1.0,SL,9744,0.1,-1.1
Q60,1786440810000,TRAIN,0.5,1.25,-1.0,SL,9602,0.1,-1.1
Q60,1786553460000,TRAIN,0.5,1.25,-1.0,SL,5400,0.1,-1.1
Q60,1786553820000,TRAIN,0.5,1.25,2.5,TP,219149,0.1,2.4
Q60,1786633320000,TRAIN,0.5,1.25,-1.0,SL,16963,0.1,-1.1
Q60,1786670520000,TRAIN,0.5,1.25,-1.0,SL,2400,0.1,-1.1
Q60,1787066490000,TRAIN,0.5,1.25,-1.0,SL,18900,0.1,-1.1
Q60,1787098590000,TRAIN,0.5,1.25,-1.0,SL,145347,0.1,-1.1
Q60,1787140380000,TRAIN,0.5,1.25,-1.0,SL,12003,0.1,-1.1
Q60,1787143260000,TRAIN,0.5,1.25,-1.0,SL,15596,0.1,-1.1
Q60,1787234520000,VALID,0.5,1.25,2.5,TP,47700,0.1,2.4
Q60,1787246430000,VALID,0.5,1.25,2.5,TP,82346,0.1,2.4
Q60,1787267280000,VALID,0.5,1.25,-1.0,SL,16047,0.1,-1.1
Q60,1787312280000,VALID,0.5,1.25,2.5,TP,41102,0.1,2.4
Q60,1787325840000,VALID,0.5,1.25,-1.0,SL,11850,0.1,-1.1
Q60,1787579790000,VALID,0.5,1.25,2.5,TP,94046,0.1,2.4
Q60,1787583030000,VALID,0.5,1.25,-1.0,SL,15300,0.1,-1.1
Q60,1787661450000,VALID,0.5,1.25,-1.0,SL,93604,0.1,-1.1
Q60,1787664090000,VALID,0.5,1.25,-1.0,SL,3600,0.1,-1.1
Q60,1787666490000,VALID,0.5,1.25,-1.0,SL,50557,0.1,-1.1
Q60,1787749530000,VALID,0.5,1.25,-1.0,SL,93745,0.1,-1.1
Q60,1787753850000,VALID,0.5,1.25,-1.0,SL,27594,0.1,-1.1
Q60,1787788590000,VALID,0.5,1.25,-1.0,SL,8553,0.1,-1.1
Q60,1787834550000,VALID,0.5,1.25,2.5,TP,174148,0.1,2.4
Q60,1787925720000,VALID,0.5,1.25,2.5,TP,15454,0.1,2.4
Q60,1788144150000,VALID,0.5,1.25,-1.0,SL,83999,0.1,-1.1
Q60,1788258720000,VALID,0.5,1.25,-1.0,SL,45300,0.1,-1.1
Q60,1788333960000,VALID,0.5,1.25,-1.0,SL,82501,0.1,-1.1
Q60,1788353280000,VALID,0.5,1.25,-1.0,SL,18001,0.1,-1.1
Q60,1788417360000,VALID,0.5,1.25,-1.0,SL,79203,0.1,-1.1
Q60,1788439920000,VALID,0.5,1.25,2.5,TP,100354,0.1,2.4
Q60,1788461400000,VALID,0.5,1.25,-1.0,SL,11399,0.1,-1.1
Q60,1788852930000,POST_CHECK,0.5,1.25,-1.0,SL,38396,0.1,-1.1
Q60,1788853320000,POST_CHECK,0.5,1.25,-1.0,SL,13799,0.1,-1.1
Q60,1788894780000,POST_CHECK,0.5,1.25,-1.0,SL,9754,0.1,-1.1
Q60,1789007910000,POST_CHECK,0.5,1.25,2.5,TP,211356,0.1,2.4
Q60,1789019610000,POST_CHECK,0.5,1.25,-1.0,SL,9450,0.1,-1.1
Q60,1789047570000,POST_CHECK,0.5,1.25,-1.0,SL,31949,0.1,-1.1
Q60,1789053690000,POST_CHECK,0.5,1.25,0.4607184241020071,TIME,299847,0.1,0.36071842410200705
Q60,1789088850000,POST_CHECK,0.5,1.25,-1.0,SL,8848,0.1,-1.1
Q60,1789347690000,POST_CHECK,0.5,1.25,2.5,TP,36749,0.1,2.4
Q60,1789383480000,POST_CHECK,0.5,1.25,-1.0,SL,6458,0.1,-1.1
Q60,1789388280000,POST_CHECK,0.5,1.25,2.5,TP,26847,0.1,2.4
Q60,1789445400000,POST_CHECK,0.5,1.25,-1.0,SL,0,0.1,-1.1
Q60,1786096110000,TRAIN,0.5,1.25,2.5,TP,116247,0.15,2.35
